"Name","GroupScope","GroupCategory","Members"
"Administrators","DomainLocal","Security","CN=Domain Admins,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Enterprise Admins,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Administrator,CN=Users,DC=bolton,DC=barmbuzz,DC=test"
"Users","DomainLocal","Security","CN=Domain Users,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=bolton,DC=barmbuzz,DC=test; CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=bolton,DC=barmbuzz,DC=test"
"Guests","DomainLocal","Security","CN=Domain Guests,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Guest,CN=Users,DC=bolton,DC=barmbuzz,DC=test"
"Print Operators","DomainLocal","Security",""
"Backup Operators","DomainLocal","Security",""
"Replicator","DomainLocal","Security",""
"Remote Desktop Users","DomainLocal","Security",""
"Network Configuration Operators","DomainLocal","Security",""
"Performance Monitor Users","DomainLocal","Security",""
"Performance Log Users","DomainLocal","Security",""
"Distributed COM Users","DomainLocal","Security",""
"IIS_IUSRS","DomainLocal","Security","CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=bolton,DC=barmbuzz,DC=test"
"Cryptographic Operators","DomainLocal","Security",""
"Event Log Readers","DomainLocal","Security",""
"Certificate Service DCOM Access","DomainLocal","Security",""
"RDS Remote Access Servers","DomainLocal","Security",""
"RDS Endpoint Servers","DomainLocal","Security",""
"RDS Management Servers","DomainLocal","Security",""
"Hyper-V Administrators","DomainLocal","Security",""
"Access Control Assistance Operators","DomainLocal","Security",""
"Remote Management Users","DomainLocal","Security",""
"Storage Replica Administrators","DomainLocal","Security",""
"OpenSSH Users","DomainLocal","Security",""
"Domain Computers","Global","Security",""
"Domain Controllers","Global","Security",""
"Schema Admins","Universal","Security","CN=Administrator,CN=Users,DC=bolton,DC=barmbuzz,DC=test"
"Enterprise Admins","Universal","Security","CN=Administrator,CN=Users,DC=bolton,DC=barmbuzz,DC=test"
"Cert Publishers","DomainLocal","Security",""
"Domain Admins","Global","Security","CN=Administrator,CN=Users,DC=bolton,DC=barmbuzz,DC=test"
"Domain Users","Global","Security",""
"Domain Guests","Global","Security",""
"Group Policy Creator Owners","Global","Security","CN=Administrator,CN=Users,DC=bolton,DC=barmbuzz,DC=test"
"RAS and IAS Servers","DomainLocal","Security",""
"Server Operators","DomainLocal","Security",""
"Account Operators","DomainLocal","Security",""
"Pre-Windows 2000 Compatible Access","DomainLocal","Security","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=bolton,DC=barmbuzz,DC=test"
"Incoming Forest Trust Builders","DomainLocal","Security",""
"Windows Authorization Access Group","DomainLocal","Security","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=bolton,DC=barmbuzz,DC=test"
"Terminal Server License Servers","DomainLocal","Security",""
"Allowed RODC Password Replication Group","DomainLocal","Security",""
"Denied RODC Password Replication Group","DomainLocal","Security","CN=Read-only Domain Controllers,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Group Policy Creator Owners,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Domain Admins,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Cert Publishers,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Enterprise Admins,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Schema Admins,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=Domain Controllers,CN=Users,DC=bolton,DC=barmbuzz,DC=test; CN=krbtgt,CN=Users,DC=bolton,DC=barmbuzz,DC=test"
"Read-only Domain Controllers","Global","Security",""
"Enterprise Read-only Domain Controllers","Universal","Security",""
"Cloneable Domain Controllers","Global","Security",""
"Protected Users","Global","Security",""
"Key Admins","Global","Security",""
"Enterprise Key Admins","Universal","Security",""
"Forest Trust Accounts","Global","Security",""
"External Trust Accounts","Global","Security",""
"DnsAdmins","DomainLocal","Security",""
"DnsUpdateProxy","Global","Security",""
"GG-IT-Staff","Global","Security","CN=j.smith,OU=BoltonUsers,OU=Bolton,DC=bolton,DC=barmbuzz,DC=test"
"GG-Finance","Global","Security","CN=a.jones,OU=BoltonUsers,OU=Bolton,DC=bolton,DC=barmbuzz,DC=test"
"GG-HR","Global","Security","CN=b.taylor,OU=BoltonUsers,OU=Bolton,DC=bolton,DC=barmbuzz,DC=test"
"GG-IT-Admins","Global","Security","CN=adm.jsmith,OU=BoltonAdmins,OU=Bolton,DC=bolton,DC=barmbuzz,DC=test"
"GG-Derby-IT","Global","Security","CN=d.patel,OU=DerbyUsers,OU=Derby,DC=bolton,DC=barmbuzz,DC=test"
"GG-Derby-Sales","Global","Security","CN=s.green,OU=DerbyUsers,OU=Derby,DC=bolton,DC=barmbuzz,DC=test"
"GG-Derby-IT-Admins","Global","Security","CN=adm.dpatel,OU=DerbyAdmins,OU=Derby,DC=bolton,DC=barmbuzz,DC=test"
"GG-Nottingham-Ops","Global","Security","CN=r.khan,OU=NottinghamUsers,OU=Nottingham,OU=Derby,DC=bolton,DC=barmbuzz,DC=test"
"DL-FileShare-Bolton-R","DomainLocal","Security","CN=GG-HR,OU=BoltonUsers,OU=Bolton,DC=bolton,DC=barmbuzz,DC=test; CN=GG-Finance,OU=BoltonUsers,OU=Bolton,DC=bolton,DC=barmbuzz,DC=test; CN=GG-IT-Staff,OU=BoltonUsers,OU=Bolton,DC=bolton,DC=barmbuzz,DC=test"
"DL-FileShare-Derby-R","DomainLocal","Security","CN=GG-Nottingham-Ops,OU=NottinghamUsers,OU=Nottingham,OU=Derby,DC=bolton,DC=barmbuzz,DC=test; CN=GG-Derby-Sales,OU=DerbyUsers,OU=Derby,DC=bolton,DC=barmbuzz,DC=test; CN=GG-Derby-IT,OU=DerbyUsers,OU=Derby,DC=bolton,DC=barmbuzz,DC=test"
